Programa,Estado,Municipio,Superficie ó cantidad asignada,Unidad de medida (especificar),  Monto asignado  
Conservación y Restauración de los suelos,AGUASCALIENTES,Aguascalientes,100,ha,"$264,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Aguascalientes,110,ha,"$290,400.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Aguascalientes,60,ha,"$171,600.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Asientos,100,ha,"$264,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Asientos,38,ha,"$100,320.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Asientos,25,ha,"$66,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Asientos,105,ha,"$277,200.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Asientos,50,ha,"$54,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Asientos,50,ha,"$54,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Asientos,40,ha,"$105,600.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,140,ha,"$378,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,52,ha,"$148,720.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,58,ha,"$165,880.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,140,ha,"$400,400.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,55,ha,"$148,500.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,25,ha,"$67,500.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,88.024475,ha,"$251,750.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,90,ha,"$257,400.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,70,ha,"$200,200.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,57,ha,"$153,900.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,30,ha,"$85,800.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,30,ha,"$81,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,24,ha,"$64,800.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,23,ha,"$62,100.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,20,ha,"$54,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,19,ha,"$51,300.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,18,ha,"$48,600.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,15,ha,"$40,500.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Calvillo,15,ha,"$40,500.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Cosío,105,ha,"$277,200.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Jesús María,140,ha,"$369,600.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Jesús María,140,ha,"$400,400.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Jesús María,140,ha,"$378,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Rincón De Romos,100,ha,"$264,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Rincón De Romos,140,ha,"$369,600.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Rincón De Romos,140,ha,"$369,600.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Rincón De Romos,80,ha,"$211,200.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Rincón De Romos,140,ha,"$369,600.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Rincón De Romos,110,ha,"$290,400.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Rincón De Romos,50,ha,"$132,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,San Francisco De Los Romo,52,ha,"$137,280.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,San José De Gracia,55,ha,"$157,300.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,San José De Gracia,22.31582,ha,"$63,823.25"
Conservación y Restauración de los suelos,AGUASCALIENTES,San José De Gracia,80.429568,ha,"$212,334.06"
Conservación y Restauración de los suelos,AGUASCALIENTES,Tepezalá,100,ha,"$264,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Tepezalá,110,ha,"$290,400.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Tepezalá,50,ha,"$54,000.00"
Conservación y Restauración de los suelos,AGUASCALIENTES,Tepezalá,50,ha,"$132,000.00"
Desarrollo de la Cadena Productiva Forestal,AGUASCALIENTES,Calvillo,,,"$64,728.14"
Desarrollo de la Cadena Productiva Forestal,AGUASCALIENTES,San José De Gracia,,,"$64,869.10"
Desarrollo Forestal,AGUASCALIENTES,,5.7,Km,"$227,380.45"
Desarrollo Forestal,AGUASCALIENTES,,150,ha,"$162,525.00"
Desarrollo Forestal,AGUASCALIENTES,,2311,ha,"$165,000.00"
Desarrollo Forestal,AGUASCALIENTES,,243,ha,"$142,500.00"
Desarrollo Forestal,AGUASCALIENTES,,482,ha,"$153,750.00"
Desarrollo Forestal,AGUASCALIENTES,,2072,ha,"$151,717.50"
Desarrollo Forestal,AGUASCALIENTES,,170,ha,"$46,453.00"
Desarrollo Forestal,AGUASCALIENTES,,160,ha,"$45,083.00"
Desarrollo Forestal,AGUASCALIENTES,,150,ha,"$43,000.00"
Desarrollo Forestal,AGUASCALIENTES,,1233,ha,"$197,280.00"
Desarrollo Forestal,AGUASCALIENTES,,482,ha,"$66,897.75"
Desarrollo Forestal,AGUASCALIENTES,,1000,ha,"$160,163.00"
Desarrollo Forestal,AGUASCALIENTES,,751,ha,"$94,537.50"
Desarrollo Forestal,AGUASCALIENTES,,100,ha,"$10,000.00"
